triplet_id,model,anchor_es_to_anchor_en,far_es_to_far_en,anchor_es_to_far_en,far_es_to_anchor_en,anchor_es_to_far_es,anchor_en_to_far_en,flattening
es_ser_001,LaBSE,0.9433708786964417,0.9263738393783569,0.9433708786964417,0.9263738393783569,0.9878571629524231,1.0000001192092896,?
es_ser_002,LaBSE,0.9393215775489807,0.9348644018173218,0.9393215775489807,0.9348644018173218,0.9970824122428894,1.000000238418579,?
es_ser_003,LaBSE,0.9460344314575195,0.9240483045578003,0.9460344314575195,0.9240483045578003,0.9892786145210266,1.0,?
es_ser_004,LaBSE,0.9208110570907593,0.9241252541542053,0.9208110570907593,0.9241252541542053,0.9932305812835693,1.0000001192092896,?
es_ser_005,LaBSE,0.9365622997283936,0.9353389739990234,0.9365622997283936,0.9353389739990234,0.9980595707893372,0.9999998807907104,?
es_ser_006,LaBSE,0.9398173093795776,0.934136152267456,0.9398173093795776,0.934136152267456,0.99693363904953,0.9999999403953552,?
es_ser_007,LaBSE,0.837624192237854,0.8397154808044434,0.837624192237854,0.8397154808044434,0.9915258884429932,1.0,?
es_ser_008,LaBSE,0.9145169854164124,0.8924891948699951,0.9145169854164124,0.8924891948699951,0.991395890712738,1.0,?
es_ser_009,LaBSE,0.9579296112060547,0.9546419382095337,0.9579296112060547,0.9546419382095337,0.9988600015640259,0.9999999403953552,?
es_ser_010,LaBSE,0.9066457748413086,0.9069599509239197,0.9066457748413086,0.9069599509239197,0.9978016018867493,1.000000238418579,?
es_ser_011,LaBSE,0.9492320418357849,0.9478197693824768,0.9492320418357849,0.9478197693824768,0.9954419732093811,1.0,?
es_ser_012,LaBSE,0.9017924070358276,0.8837147355079651,0.8874727487564087,0.8912062644958496,0.9952936172485352,0.9871426224708557,?
es_ser_013,LaBSE,0.7940586805343628,0.9567874073982239,0.9685093760490417,0.7790086269378662,0.9892733097076416,0.8135148286819458,?
es_ser_014,LaBSE,0.9492290019989014,0.9013278484344482,0.8618965744972229,0.9359641075134277,0.9823874235153198,0.8988931179046631,?
es_ser_015,LaBSE,0.9121171236038208,0.9093440175056458,0.9121171236038208,0.9093440175056458,0.9966102838516235,0.9999999403953552,?
es_ser_016,LaBSE,0.8946224451065063,0.8856639862060547,0.8946224451065063,0.8856639862060547,0.995908260345459,1.0000001192092896,?
es_ser_017,LaBSE,0.9256705045700073,0.915887713432312,0.9256705045700073,0.915887713432312,0.9979426860809326,1.0,?
es_ser2_001,LaBSE,0.7379082441329956,0.9228191375732422,0.9273470640182495,0.7271406054496765,0.9972911477088928,0.7707338333129883,non_flattening
es_ser2_003,LaBSE,0.8882410526275635,0.9027739763259888,0.8984605073928833,0.911595344543457,0.9455031156539917,0.867642879486084,non_flattening
es_ser2_004,LaBSE,0.9339932203292847,0.9260510802268982,0.9339932203292847,0.9260510802268982,0.9968135952949524,0.9999998211860657,partial
es_ser2_005,LaBSE,0.8782577514648438,0.881136953830719,0.8782577514648438,0.881136953830719,0.9976977109909058,0.9999999403953552,partial
es_ser2_006,LaBSE,0.9638606309890747,0.9564587473869324,0.9638606309890747,0.9564587473869324,0.9975780248641968,0.9999999403953552,partial
es_ser2_007,LaBSE,0.9443862438201904,0.9368299245834351,0.9443862438201904,0.9368299245834351,0.9969333410263062,1.000000238418579,partial
es_ser2_008,LaBSE,0.9491890072822571,0.9500805735588074,0.9532986879348755,0.9452279210090637,0.9973791837692261,0.9845901131629944,partial
es_ser2_009,LaBSE,0.9442047476768494,0.9390501976013184,0.9442047476768494,0.9390501976013184,0.9968644976615906,1.0000001192092896,partial
es_ser2_011,LaBSE,0.9400302171707153,0.9405885934829712,0.9400302171707153,0.9405885934829712,0.9960682392120361,1.0,partial
es_ser2_012,LaBSE,0.9127511382102966,0.9093983173370361,0.9127511382102966,0.9093983173370361,0.9953280687332153,1.0000001192092896,partial
