model,language,category,condition,phase1_n,phase1_acc,phase1_lo,phase1_hi,phase2b_n,phase2b_acc,phase2b_lo,phase2b_hi,diff_phase2b_minus_phase1,diff_lo,diff_hi,consistent
E5-large,hindi,formality_tv,english_pivot,12,0.0,0.0,0.0,84,0.023809523809523808,0.0,0.05952380952380952,0.023809523809523808,0.0,0.05952380952380952,True
E5-large,hindi,formality_tv,native,12,0.08333333333333333,0.0,0.25,84,0.09523809523809523,0.03571428571428571,0.16666666666666666,0.011904761904761904,-0.17857142857142858,0.14285714285714285,True
E5-large,hindi,kinship_paternal_maternal,english_pivot,13,0.07692307692307693,0.0,0.23076923076923078,96,0.0,0.0,0.0,-0.07692307692307693,-0.23076923076923078,0.0,True
E5-large,hindi,kinship_paternal_maternal,native,13,1.0,1.0,1.0,96,0.8854166666666666,0.8229166666666666,0.9479166666666666,-0.11458333333333337,-0.17708333333333337,-0.05208333333333337,False
E5-large,hindi,kinship_relative_age,english_pivot,12,0.9166666666666666,0.75,1.0,87,0.7701149425287356,0.6781609195402298,0.8620689655172413,-0.14655172413793105,-0.29885057471264365,0.054597701149425304,True
E5-large,hindi,kinship_relative_age,native,12,1.0,1.0,1.0,87,0.8620689655172413,0.7816091954022989,0.9310344827586207,-0.13793103448275867,-0.2183908045977011,-0.06896551724137934,False
E5-large,spanish,formality,english_pivot,17,0.0,0.0,0.0,62,0.0,0.0,0.0,0.0,0.0,0.0,True
E5-large,spanish,formality,native,17,0.47058823529411764,0.23529411764705882,0.7058823529411765,62,0.3548387096774194,0.24193548387096775,0.46774193548387094,-0.11574952561669827,-0.3833017077798862,0.15180265654648956,True
E5-large,spanish,gender_agreement_adjectives,english_pivot,16,0.0,0.0,0.0,87,0.0,0.0,0.0,0.0,0.0,0.0,True
E5-large,spanish,gender_agreement_adjectives,native,16,0.625,0.375,0.875,87,0.4367816091954023,0.3333333333333333,0.5402298850574713,-0.18821839080459768,-0.444683908045977,0.0783405172413788,True
E5-large,spanish,ser_vs_estar,english_pivot,17,0.17647058823529413,0.0,0.35294117647058826,95,0.29473684210526313,0.21052631578947367,0.3894736842105263,0.118266253869969,-0.09597523219814241,0.30526315789473685,True
E5-large,spanish,ser_vs_estar,native,17,0.0,0.0,0.0,95,0.031578947368421054,0.0,0.07368421052631578,0.031578947368421054,0.0,0.07368421052631578,True
E5-multi,hindi,formality_tv,english_pivot,12,0.0,0.0,0.0,84,0.023809523809523808,0.0,0.05952380952380952,0.023809523809523808,0.0,0.05952380952380952,True
E5-multi,hindi,formality_tv,native,12,0.08333333333333333,0.0,0.25,84,0.03571428571428571,0.0,0.08333333333333333,-0.047619047619047616,-0.2261904761904762,0.07142857142857142,True
E5-multi,hindi,kinship_paternal_maternal,english_pivot,13,0.0,0.0,0.0,96,0.0,0.0,0.0,0.0,0.0,0.0,True
E5-multi,hindi,kinship_paternal_maternal,native,13,1.0,1.0,1.0,96,0.8854166666666666,0.8229166666666666,0.9479166666666666,-0.11458333333333337,-0.1773437499999998,-0.05208333333333337,False
E5-multi,hindi,kinship_relative_age,english_pivot,12,0.9166666666666666,0.75,1.0,87,0.7471264367816092,0.6551724137931034,0.8390804597701149,-0.16954022988505746,-0.32183908045977017,0.034482758620689724,True
E5-multi,hindi,kinship_relative_age,native,12,0.9166666666666666,0.75,1.0,87,0.7701149425287356,0.6781609195402298,0.8505747126436781,-0.14655172413793105,-0.29885057471264365,0.054597701149425304,True
E5-multi,spanish,formality,english_pivot,17,0.0,0.0,0.0,62,0.016129032258064516,0.0,0.04838709677419355,0.016129032258064516,0.0,0.04838709677419355,True
E5-multi,spanish,formality,native,17,0.23529411764705882,0.058823529411764705,0.47058823529411764,62,0.24193548387096775,0.14516129032258066,0.3548387096774194,0.006641366223908929,-0.23434535104364324,0.22580645161290322,True
E5-multi,spanish,gender_agreement_adjectives,english_pivot,16,0.0,0.0,0.0,87,0.0,0.0,0.0,0.0,0.0,0.0,True
E5-multi,spanish,gender_agreement_adjectives,native,16,0.4375,0.1875,0.6875,87,0.2988505747126437,0.20689655172413793,0.39080459770114945,-0.1386494252873563,-0.40014367816091956,0.1228448275862069,True
E5-multi,spanish,ser_vs_estar,english_pivot,17,0.11764705882352941,0.0,0.29411764705882354,95,0.2631578947368421,0.17894736842105263,0.35789473684210527,0.14551083591331268,-0.04148606811145511,0.30526315789473685,True
E5-multi,spanish,ser_vs_estar,native,17,0.0,0.0,0.0,95,0.021052631578947368,0.0,0.05263157894736842,0.021052631578947368,0.0,0.05263157894736842,True
LaBSE,hindi,formality_tv,english_pivot,12,0.0,0.0,0.0,84,0.023809523809523808,0.0,0.05952380952380952,0.023809523809523808,0.0,0.05952380952380952,True
LaBSE,hindi,formality_tv,native,12,0.08333333333333333,0.0,0.25,84,0.03571428571428571,0.0,0.08333333333333333,-0.047619047619047616,-0.2261904761904762,0.07142857142857142,True
LaBSE,hindi,kinship_paternal_maternal,english_pivot,13,0.0,0.0,0.0,96,0.0,0.0,0.0,0.0,0.0,0.0,True
