language,category,flattening_type,best_multilingual_model,best_multilingual_acc,english_pivot_acc,gap,gap_ci95_lo,gap_ci95_hi,gap_ci99_lo,gap_ci99_hi,headline_significant,n_items
hindi,kinship_relative_age,partial,E5-large,0.8787878787878788,0.494949494949495,0.3838383838383838,0.26262626262626265,0.494949494949495,0.23227272727272721,0.5353535353535352,True,99
spanish,ser_vs_estar,partial,bge-m3,0.05357142857142857,0.30357142857142855,-0.24999999999999997,-0.3392857142857143,-0.16071428571428573,-0.3660714285714286,-0.14285714285714285,True,112
hindi,formality_tv,strong,bge-m3,0.13541666666666666,0.0,0.13541666666666666,0.07291666666666667,0.20833333333333334,0.052083333333333336,0.22916666666666666,True,96
hindi,kinship_paternal_maternal,strong,bge-m3,0.963302752293578,0.0,0.963302752293578,0.926605504587156,0.9908256880733946,0.9173853211009175,1.0,True,109
hindi,verb_gender_agreement,strong,bge-m3,0.15384615384615385,0.0,0.15384615384615385,0.0,0.38461538461538464,0.0,0.46153846153846156,False,13
spanish,formality,strong,E5-large,0.379746835443038,0.0,0.379746835443038,0.27848101265822783,0.4936708860759494,0.24050632911392406,0.5316455696202531,True,79
spanish,gender_agreement_adjectives,strong,bge-m3,0.8349514563106796,0.0,0.8349514563106796,0.7669902912621359,0.9029126213592233,0.7378640776699029,0.9223300970873787,True,103
